dataset,method,threshold,q,precision,recall,f1,accuracy,tn,fp,fn,tp,eval_len
respiration1,iforest,0.021910005317762965,0.995,0.0,0.0,0.0,0.99632,99632,216,152,0,100000
respiration1,ocsvm,0.4615879128848677,0.995,0.0,0.0,0.0,0.9852,98520,1328,152,0,100000
PowerDemand1,iforest,0.007020122199409404,0.995,0.0,0.0,0.0,0.9596770340643065,20087,508,336,0,20931
PowerDemand1,ocsvm,0.0002678040767729217,0.995,0.0,0.0,0.0,0.8010606277769815,16767,3828,336,0,20931
gaitHunt2,iforest,0.004569305362837923,0.995,0.1881578947368421,0.88,0.31002710027100266,0.9440439560439561,42382,2468,78,572,45500
gaitHunt2,ocsvm,0.0013275563258955474,0.995,0.008798391151332328,0.2153846153846154,0.0169061707523246,0.6421538461538462,29078,15772,510,140,45500
InternalBleeding4,iforest,0.0014493262265128227,0.995,0.49803149606299213,0.7067039106145251,0.5842956120092377,0.943046986236355,5708,255,105,253,6321
InternalBleeding4,ocsvm,0.00038088189538917016,0.995,0.14768145161290322,0.8184357541899442,0.25021349274124677,0.7221958550862205,4272,1691,65,293,6321
InternalBleeding16,iforest,0.0020416873183900677,0.995,0.015306122448979591,1.0,0.03015075376884422,0.8774797651166482,5517,772,0,12,6301
InternalBleeding16,ocsvm,0.0004426452797601994,0.995,0.0,0.0,0.0,0.7067132201237899,4453,1836,12,0,6301
